name,x,y,v,angle,acc
car1,-9.83333,4,5,0,0
car2,24.8,-4,-6,0,0
car3,-11.9667,0,1,0,0
car1,-9.66667,4,5,0,0
car2,24.6,-4,-6,0,0
car3,-11.9333,0,1,0,0
car1,-9.5,4,5,0,0
car2,24.4,-4,-6,0,0
car3,-11.9,0,1,0,0
car1,-9.33333,4,5,0,0
car2,24.2,-4,-6,0,0
car3,-11.8667,0,1,0,0
car1,-9.16667,4,5,0,0
car2,24,-4,-6,0,0
car3,-11.8333,0,1,0,0
car1,-9,4,5,0,0
car2,23.8,-4,-6,0,0
car3,-11.8,0,1,0,0
car1,-8.83333,4,5,0,0
car2,23.6,-4,-6,0,0
car3,-11.7667,0,1,0,0
car1,-8.66667,4,5,0,0
car2,23.4,-4,-6,0,0
car3,-11.7333,0,1,0,0
car1,-8.5,4,5,0,0
car2,23.2,-4,-6,0,0
car3,-11.7,0,1,0,0
car1,-8.33333,4,5,0,0
car2,23,-4,-6,0,0
car3,-11.6667,0,1,0,0
car1,-8.16667,4,5,0,0
car2,22.8,-4,-6,0,0
car3,-11.6333,0,1,0,0
car1,-8,4,5,0,0
car2,22.6,-4,-6,0,0
car3,-11.6,0,1,0,0
car1,-7.83333,4,5,0,0
car2,22.4,-4,-6,0,0
car3,-11.5667,0,1,0,0
car1,-7.66667,4,5,0,0
car2,22.2,-4,-6,0,0
car3,-11.5333,0,1,0,0
car1,-7.5,4,5,0,0
car2,22,-4,-6,0,0
car3,-11.5,0,1,0,0
car1,-7.33333,4,5.01667,0,0.5
car2,21.8,-4,-6,0,0
car3,-11.4667,0,1.06667,0.0166667,2
car1,-7.16611,4,5.03333,0,0.5
car2,21.6,-4,-6,0,0
car3,-11.4311,0.000592565,1.13333,0.0344444,2
car1,-6.99833,4,5.05,0,0.5
car2,21.4,-4,-6,0,0
car3,-11.3934,0.00189354,1.2,0.0533333,2
car1,-6.83,4,5.06667,0,0.5
car2,21.2,-4,-6,0,0
car3,-11.3534,0.00402587,1.26667,0.0733333,2
car1,-6.66111,4,5.08333,0,0.5
car2,21,-4,-6,0,0
car3,-11.3113,0.00711939,1.33333,0.0944445,2
car1,-6.49167,4,5.1,0,0.5
car2,20.8,-4,-6,0,0
car3,-11.2671,0.0113107,1.4,0.116667,2
car1,-6.32167,4,5.11667,0,0.5
car2,20.6,-4,-6,0,0
car3,-11.2207,0.0167428,1.46667,0.14,2
car1,-6.15111,4,5.13334,0,0.5
car2,20.4,-4,-6,0,0
car3,-11.1723,0.0235649,1.53333,0.164444,2
car1,-5.98,4,5.15,0,0.5
car2,20.2,-4,-6,0,0
car3,-11.1219,0.031932,1.6,0.19,2
car1,-5.80833,4,5.16667,0,0.5
car2,20,-4,-6,0,0
car3,-11.0695,0.0420045,1.66667,0.216667,2
car1,-5.63611,4,5.18334,0,0.5
car2,19.8,-4,-6,0,0
car3,-11.0153,0.0539476,1.73333,0.244445,2
car1,-5.46333,4,5.2,0,0.5
