name,t,dt,sensor_type,lidar_x,lidar_y,nis_lidar,radar_r,radar_phi,radar_dr,nis_radar,x_px,x_py,x_v,x_yaw_angle,x_yaw_rate
car1,0,0,lidar,-9.78791,3.78957,1.08434e-311,,,,,-9.78791,3.78957,0,0,0
car1,0,0,radar,,,,10.8145,2.72508,-4.31948,5.26377,-9.81409,3.89779,4.57926,0,0
car2,0,0,lidar,24.8454,-4.21043,1.08434e-311,,,,,24.8454,-4.21043,0,0,0
car2,0,0,radar,,,,25.3192,-0.190092,-5.61145,4.21659,24.8654,-4.23532,-5.6335,0,0
car3,0,0,lidar,-11.9212,-0.210431,1.08434e-311,,,,,-11.9212,-0.210431,0,0,0
car3,0,0,radar,,,,12.1654,3.11141,-0.688,1.66225,-11.9695,-0.209401,0.681292,0,0
car1,0.033333,0.033333,lidar,-9.72393,4.02544,0.343165,,,,,-9.71504,3.96616,4.57785,0.194189,0.00670055
car1,0.033333,0,radar,,,,10.5677,2.71781,-4.75732,2.71619,-9.70769,3.96216,4.6355,-0.401493,-0.0242747
car2,0.033333,0.033333,lidar,24.5427,-3.97456,2.01814,,,,,24.6355,-4.08098,-5.64678,-0.42887,-0.0147983
car2,0.033333,0,radar,,,,25.0292,-0.192638,-6.05946,2.14277,24.6385,-4.1309,-5.70871,0.0481074,0.00823798
car3,0.033333,0.033333,lidar,-11.9906,0.0254396,1.25407,,,,,-11.9703,-0.0915155,0.678467,0.057001,0.00196684
car3,0.033333,0,radar,,,,12.0395,3.11015,-1.13724,2.75366,-11.9733,-0.0911497,0.921026,0.0174421,9.89947e-05
car1,0.066666,0.033333,lidar,-9.21418,4.16587,5.45512,,,,,-9.44917,4.02244,4.7364,-0.0521262,0.0160445
car1,0.066666,0,radar,,,,10.3982,2.77725,-4.58475,1.92487,-9.47657,3.97549,4.76559,-0.299265,-0.0332337
car2,0.066666,0.033333,lidar,24.6858,-3.83413,2.89918,,,,,24.5532,-3.96102,-5.71096,-0.438417,-0.0299264
car2,0.066666,0,radar,,,,24.8162,-0.128314,-5.89754,2.56231,24.5498,-4.00662,-5.81874,-0.0438861,0.0402244
car3,0.066666,0.033333,lidar,-11.6142,0.165868,5.49086,,,,,-11.8528,-0.00179738,0.957492,0.169399,0.0104379
car3,0.066666,0,radar,,,,11.9905,3.17577,-0.976575,1.46012,-11.86,-0.00329703,1.02725,0.0936361,0.00301727
car1,0.1,0.033334,lidar,-9.23115,3.75793,1.31832,,,,,-9.31295,3.88183,4.73825,-0.369481,-0.0488775
car1,0.1,0,radar,,,,9.86106,2.72457,-4.53701,1.06864,-9.29601,3.8914,4.73612,-0.348345,-0.0418096
car2,0.1,0.033334,lidar,24.3022,-4.24207,1.55183,,,,,24.3532,-4.11302,-5.74404,0.174328,0.0759523
car2,0.1,0,radar,,,,24.2351,-0.17594,-5.86097,2.95381,24.32,-4.06171,-5.92273,-0.0293455,-0.0170071
car3,0.1,0.033334,lidar,-11.7645,-0.242069,2.02889,,,,,-11.8201,-0.0697073,1.02358,-0.133483,-0.0201639
car3,0.1,0,radar,,,,11.5734,3.12946,-0.941288,1.83471,-11.8051,-0.0660495,1.08128,-0.0633141,-0.011267
car1,0.133333,0.033333,lidar,-9.20883,3.63573,1.31631,,,,,-9.17644,3.77185,4.68454,-0.478305,-0.118977
car1,0.133333,0,radar,,,,10.0095,2.78774,-4.94543,2.55984,-9.17454,3.76946,4.83285,-0.434614,-0.071317
