name,t,dt,sensor_type,lidar_x,lidar_y,nis_lidar,radar_r,radar_phi,radar_dr,nis_radar,x_px,x_py,x_v,x_yaw_angle,x_yaw_rate
car1,0,0,lidar,-9.78791,3.78957,1.1862e-311,,,,,-9.78791,3.78957,0,0,0
car2,0,0,lidar,24.8454,-4.21043,1.1862e-311,,,,,24.8454,-4.21043,0,0,0
car3,0,0,lidar,-11.9212,-0.210431,1.1862e-311,,,,,-11.9212,-0.210431,0,0,0
car1,0.033333,0.033333,lidar,-9.72393,4.02544,1.31076,,,,,-9.7501,3.9075,0.349169,1.51788e-18,-3.46945e-18
car2,0.033333,0.033333,lidar,24.5427,-3.97456,2.90203,,,,,24.6666,-4.0925,-1.65183,1.51788e-18,-3.46945e-18
car3,0.033333,0.033333,lidar,-11.9906,0.0254396,1.32377,,,,,-11.9622,-0.0924957,-0.378466,1.51788e-18,-3.46945e-18
car1,0.066666,0.033333,lidar,-9.21418,4.16587,7.31052,,,,,-9.44166,3.99385,4.07654,0.0430788,0.003503
car2,0.066666,0.033333,lidar,24.6858,-3.83413,1.98483,,,,,24.6611,-4.00142,-1.24605,-0.198199,-0.0161167
car3,0.066666,0.033333,lidar,-11.6142,0.165868,4.41509,,,,,-11.768,-0.00610734,2.14228,-0.0466826,-0.00379604
car1,0.1,0.033334,lidar,-9.23115,3.75793,1.80266,,,,,-9.27959,3.90366,4.71706,-0.415573,-0.0537888
car2,0.1,0.033334,lidar,24.3022,-4.24207,4.18561,,,,,24.4541,-4.0635,-3.11927,0.127537,0.0189415
car3,0.1,0.033334,lidar,-11.7645,-0.242069,1.80059,,,,,-11.7428,-0.0729669,1.89218,-0.278912,-0.0347658
car1,0.133333,0.033333,lidar,-9.20883,3.63573,0.959791,,,,,-9.19873,3.73156,4.7693,-0.917649,-0.132008
car2,0.133333,0.033333,lidar,23.9578,-4.36427,5.94906,,,,,24.1563,-4.19306,-5.15912,0.693612,0.101902
car3,0.133333,0.033333,lidar,-11.8755,-0.364268,3.10135,,,,,-11.786,-0.170258,1.24021,-0.782134,-0.113026
car1,0.166666,0.033333,lidar,-9.11556,3.9899,2.79503,,,,,-9.09252,3.81748,4.07373,-0.369723,-0.0224127
car2,0.166666,0.033333,lidar,23.6844,-4.0101,3.87395,,,,,23.8496,-4.10673,-6.10048,-0.119294,-0.0764017
