name,t,dt,sensor_type,lidar_x,lidar_y,nis_lidar,radar_r,radar_phi,radar_dr,nis_radar,x_px,x_py,x_v,x_yaw_angle,x_yaw_rate
car1,0,0,radar,,,,10.8145,2.72508,-4.31948,3.11523e-307,-9.8899,4.37529,-4.31948,2.72508,0
car2,0,0,radar,,,,25.3192,-0.190092,-5.61145,3.11523e-307,24.8632,-4.78405,-5.61145,-0.190092,0
car3,0,0,radar,,,,12.1654,3.11141,-0.688,3.11523e-307,-12.1599,0.36708,-0.688,3.11141,0
car1,0.033333,0.033333,radar,,,,10.5677,2.71781,-4.75732,1.12392,-9.6913,4.32709,-4.55399,2.72516,0.000964612
car2,0.033333,0.033333,radar,,,,25.0292,-0.192638,-6.05946,1.14411,24.6227,-4.74669,-5.85125,-0.190065,0.000302748
car3,0.033333,0.033333,radar,,,,12.0395,3.11015,-1.13724,2.11731,-12.0801,0.357615,-0.925744,3.11141,-2.99728e-05
car1,0.066666,0.033333,radar,,,,10.3982,2.77725,-4.58475,2.35594,-9.60994,4.08234,-4.57181,2.72201,-0.0345379
car2,0.066666,0.033333,radar,,,,24.8162,-0.128314,-5.89754,3.82095,24.4449,-4.51922,-5.87628,-0.192857,-0.0300139
car3,0.066666,0.033333,radar,,,,11.9905,3.17577,-0.976575,1.17659,-12.0263,0.348471,-0.947363,3.1114,-0.000177834
car1,0.1,0.033334,radar,,,,9.86106,2.72457,-4.53701,1.74045,-9.35619,4.01608,-4.57478,2.72355,-0.0111032
car2,0.1,0.033334,radar,,,,24.2351,-0.17594,-5.86097,1.5882,24.1504,-4.44458,-5.88789,-0.194566,-0.0360373
car3,0.1,0.033334,radar,,,,11.5734,3.12946,-0.941288,2.57211,-11.8873,0.337344,-0.952794,3.11135,-0.000535828
car1,0.133333,0.033333,radar,,,,10.0095,2.78774,-4.94543,3.60074,-9.25228,3.84777,-4.70101,2.70536,-0.134202
car2,0.133333,0.033333,radar,,,,24.3392,-0.107546,-6.2811,6.99721,23.983,-4.21801,-6.02234,-0.212371,-0.148764
